glottocode,name,level,glot_path,family
nucl1689,Nuclear Maslam,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/masl1241/nucl1689,afro1255
saoo1238,Sao,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/masl1241/saoo1238,afro1255
koto1268,Kotoko Septentrional 1,family,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268,afro1255
doug1242,Douguia,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250/doug1242,afro1255
droo1238,Dro,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250/droo1238,afro1255
goul1242,Goulfey,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250/goul1242,afro1255
mara1413,Mara (Malgbe),dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250/mara1413,afro1255
malg1250,Malgbe,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250,afro1255
nucl1688,Nuclear Malgbe,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250/nucl1688,afro1255
wali1273,Walia (Malgbe),dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250/wali1273,afro1255
koto1269,Kotoko Septentrional 2,family,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269,afro1255
bodo1278,Bodo (Mpade),dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242/bodo1278,afro1255
diga1245,Digam,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242/diga1245,afro1255
maka1322,Makari,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242/maka1322,afro1255
mpad1242,Mpade,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242,afro1255
nucl1690,Nuclear Mpade,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242/nucl1690,afro1255
shoe1243,Shoe,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242/shoe1243,afro1255
woul1238,Woulki,dialect,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242/woul1238,afro1255
ngal1301,Ngala of Lake Chad,language,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/ngal1301,afro1255
koto1265,Kotoko Septentrional,family,afro1255/chad1250/bium1280/nort3156/koto1267/koto1265,afro1255
koto1267,Kotoko-Buduma,family,afro1255/chad1250/bium1280/nort3156/koto1267,afro1255
hdii1240,Hdi,language,afro1255/chad1250/bium1280/nort3156/lama1287/hdii1240,afro1255
turr1244,Tur,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/hdii1240/turr1244,afro1255
dlig1238,Dlige,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/cent2190/dlig1238,afro1255
hedk1239,Hedkala,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/cent2190/hedk1239,afro1255
cent2190,Central Laamang,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/cent2190,afro1255
waga1267,Waga,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/cent2190/waga1267,afro1255
ghud1238,Ghudavan,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/ghud1238,afro1255
lama1288,Lamang,language,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288,afro1255
dzub1245,Dzuba,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/nort3048/dzub1245,afro1255
gwoz1239,Gwoza,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/nort3048/gwoz1239,afro1255
legh1238,Leghva,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/nort3048/legh1238,afro1255
nort3048,North Laamang,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/nort3048,afro1255
zala1252,Zaladeva,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/nort3048/zala1252,afro1255
zala1251,Zaladva,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/lama1288/zala1251,afro1255
lama1287,Lamang-Hdi,family,afro1255/chad1250/bium1280/nort3156/lama1287,afro1255
vemg1240,Vemgo-Mabas,language,afro1255/chad1250/bium1280/nort3156/lama1287/vemg1240,afro1255
vemg1241,Vemgo,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/vemg1240/vemg1241,afro1255
